Order Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Quantity,Discount,Profit,Discount_Category,Sales_Original,Sales_Log
2017-10-19,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,3.0,0.2,9.9468,Low Discount,29.472,3.416808229176303
2016-12-08,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,7.0,0.2,123.4737,Low Discount,1097.544,7.001740945642436
2016-12-08,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,5.0,0.6,-147.963,High Discount,190.92,5.257078618531439
2015-12-27,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,9.0,0.2,35.415,Low Discount,113.328,4.739071510179493
2015-12-27,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,3.0,0.32,-46.9764,Medium Discount,532.3992,6.279270111934266
2015-12-27,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,3.0,0.3,-15.147,Medium Discount,212.058,5.361564429111865
2015-12-27,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,4.0,0.2,41.7564,Low Discount,371.168,5.919345365229957
2017-09-10,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,4.0,0.2,16.5564,Low Discount,147.168,4.998346765120501
2016-07-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,2.0,0.0,3.894,No Discount,77.88,4.36792771029438
2017-09-19,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,2.0,0.2,9.5616,Low Discount,95.616,4.570744358973074
2016-03-11,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,2.0,0.0,19.7714,No Discount,45.98,3.849721979230767
2016-03-11,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,2.0,0.0,8.2062,No Discount,17.46,2.9156062290747062
2014-10-20,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,4.0,0.0,8.4784,No Discount,211.96,5.361104354646802
2016-06-20,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,3.0,0.0,4.95,No Discount,45.0,3.828641396489095
2016-06-20,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,2.0,0.0,6.104,No Discount,21.8,3.126760535960395
2015-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,6.0,0.0,17.9634,No Discount,38.22,3.6691868207682004
2015-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,6.0,0.0,35.3346,No Discount,75.18,4.333098961050458
2015-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,2.0,0.0,2.9568,No Discount,6.16,1.9685099809725544
2015-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,1.0,0.0,17.0981,No Discount,89.99,4.5107496103686
2016-12-11,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,7.0,0.0,6.2566,No Discount,15.26,2.7887081041196646
2016-12-11,Standard Class,Corporate,New York City,New York,East,Technology,Phones,5.0,0.0,298.6855,No Discount,1029.95,6.938235986235724
2016-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,6.0,0.0,52.14,No Discount,208.56,5.345010094540019
2016-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,5.0,0.0,15.552,No Discount,32.4,3.5085558999826545
2016-06-17,First Class,Consumer,Troy,New York,East,Furniture,Chairs,5.0,0.1,7.098,Low Discount,319.41,5.769601425693419
2016-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,2.0,0.0,6.9888,No Discount,14.56,2.7447035187502458
2016-06-17,First Class,Consumer,Troy,New York,East,Technology,Accessories,2.0,0.0,3.3,No Discount,30.0,3.4339872044851463
2016-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,4.0,0.2,16.362,Low Discount,48.48,3.901568547524287
2016-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.0,0.0,0.84,No Discount,1.68,0.9858167945227653
2015-11-24,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,2.0,0.0,6.1512,No Discount,13.98,2.7067159780890733
2015-11-24,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,6.0,0.2,9.3612,Low Discount,25.824,3.2892970091639273
2015-11-24,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,3.0,0.0,68.9631,No Discount,146.73,4.9953862833335165
2015-11-24,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,4.0,0.0,22.3328,No Discount,79.76,4.391481793444637
2015-04-30,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,5.0,0.3,-15.2225,Medium Discount,213.115,5.36651325386079
2014-12-05,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,8.0,0.2,111.3024,Low Discount,1113.024,7.015733964240798
2014-12-05,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,4.0,0.2,62.988,Low Discount,167.968,5.129709347881841
2016-06-04,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,2.0,0.0,35.6636,No Discount,75.88,4.342245764662037
2016-09-18,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,1.0,0.2,1.731,Low Discount,4.616,1.72561966672351
2017-09-14,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,3.0,0.0,8.763,No Discount,19.05,2.998229153752578
2015-04-26,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,8.0,0.2,-114.3912,Low Discount,831.936,6.724956808482918
2015-04-26,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,2.0,0.2,1.213,Low Discount,97.04,4.585375558659912
2015-04-26,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,1.0,0.2,-18.196,Low Discount,72.784,4.3011419059334175
2017-12-09,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,3.0,0.8,-1.9344,High Discount,1.248,0.8100409320314447
2017-12-09,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,3.0,0.6,-5.8248,High Discount,9.708,2.370991125658106
2017-12-09,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,3.0,0.2,2.724,Low Discount,27.24,3.3407394126250414
2014-11-26,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,5.0,0.6,-14.475,High Discount,19.3,3.0106208860477417
2016-06-12,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,1.0,0.0,56.2032,No Discount,208.16,5.34309950931993
2016-06-12,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,3.0,0.0,8.0352,No Discount,16.74,2.8758219768814333
2014-10-12,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,5.0,0.0,4.172,No Discount,14.9,2.766319109226186
2014-10-12,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,1.0,0.0,6.2031,No Discount,21.39,3.1086144306106633
2015-09-03,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,7.0,0.2,62.8075,Low Discount,200.984,5.308188486343299
2017-11-13,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,3.0,0.2,-48.9549,Low Discount,230.376,5.444044092872437
2017-05-28,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,2.0,0.0,33.2156,No Discount,301.96,5.713600783593539
2017-10-26,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,1.0,0.0,6.7966,No Discount,19.99,3.0440461338325417
2017-10-26,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,2.0,0.0,2.9568,No Discount,6.16,1.9685099809725544
2016-04-05,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,7.0,0.2,13.8572,Low Discount,158.368,5.071215993379483
2016-09-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,3.0,0.0,6.633,No Discount,20.1,3.0492730404820207
2016-09-17,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,2.0,0.2,8.2782,Low Discount,73.584,4.311926006994392
2016-09-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,1.0,0.0,3.1104,No Discount,6.48,2.012232791986386
2015-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,2.0,0.0,6.2208,No Discount,12.96,2.6361960973342264
2015-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,3.0,0.0,16.5354,No Discount,53.34,3.9952606039982017
2015-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,2.0,0.0,16.1504,No Discount,32.96,3.5251833614431467
2017-11-06,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,1.0,0.7,-3.788,High Discount,5.682,1.8994173439345647
2017-11-09,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,7.0,0.0,40.5426,No Discount,96.53,4.580160022983923
2017-06-17,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,3.0,0.2,17.9592,Low Discount,51.312,3.957225790258975
2016-09-06,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,6.0,0.0,22.5852,No Discount,77.88,4.36792771029438
2016-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,7.0,0.2,22.6184,Low Discount,64.624,4.183941482700448
2016-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,3.0,0.2,-10.7973,Low Discount,95.976,4.574463525208929
2016-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,3.0,0.8,-3.0396,High Discount,1.788,1.0253244928982777
2016-12-01,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,4.0,0.0,11.7208,No Discount,23.92,3.2156706939192525
2015-11-13,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,6.0,0.2,-26.8758,Low Discount,238.896,5.480205496092637
2015-11-13,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,3.0,0.2,-3.8385,Low Discount,102.36,4.638218040034292
2015-11-13,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,3.0,0.7,-25.8174,High Discount,36.882,3.6344760652345496
2017-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,8.0,0.2,17.6016,Low Discount,74.112,4.318980332956246
2017-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,1.0,0.2,2.0994,Low Discount,27.992,3.367019929860569
2017-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,1.0,0.2,1.0738,Low Discount,3.304,1.4595448228594834
2015-10-15,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,5.0,0.2,67.992,Low Discount,339.96,5.831765168350307
2017-12-25,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,2.0,0.0,10.9096,No Discount,41.96,3.7602694502006093
2016-11-03,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,2.0,0.0,22.788,No Discount,75.96,4.343285806357451
2016-11-03,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,6.0,0.0,13.3476,No Discount,27.24,3.3407394126250414
2014-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,9.5,0.2,14.5348,Low Discount,40.096,3.7159107931649666
2014-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,2.0,0.2,1.652,Low Discount,4.72,1.7439688053917064
2014-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,3.0,0.2,7.4925,Low Discount,23.976,3.217915363773076
2014-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,6.0,0.2,44.0316,Low Discount,130.464,4.8787330498789885
2015-03-02,Standard Class,Consumer,Seattle,Washington,West,Furniture,Tables,3.0,0.0,165.3813,No Discount,787.53,6.670170452603868
2015-04-05,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,1.0,0.7,-115.7156,High Discount,157.794,5.067607764723911
2016-06-12,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,3.0,0.0,18.3456,No Discount,47.04,3.872033997211783
2016-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,4.0,0.0,13.878,No Discount,30.84,3.460723360976182
2016-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,6.0,0.0,63.4368,No Discount,226.56,5.427413939882447
2016-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,9.0,0.0,51.759,No Discount,115.02,4.753762590037918
2016-06-12,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,7.0,0.0,19.7316,No Discount,68.04,4.234686046775173
2014-12-26,Second Class,Home Office,Houston,Texas,Central,Furniture,Chairs,3.0,0.3,-8.5794,Medium Discount,600.558,6.399522956368744
2014-09-20,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,Tables,6.0,0.5,-407.682,Medium Discount,617.7,6.427620502536943
2017-11-05,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.0,0.7,-1.8308,High Discount,2.388,1.2202397767898079
2017-11-05,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,7.0,0.2,30.499,Low Discount,243.992,5.50122555695038
2016-11-06,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,2.0,0.2,-9.1602,Low Discount,81.424,4.411876656642767
2016-11-06,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,3.0,0.0,26.2416,No Discount,238.56,5.478803907396261
2017-02-02,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,5.0,0.4,-11.994,Medium Discount,59.97,4.110381939919725
2017-02-02,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,2.0,0.2,29.364,Low Discount,78.304,4.3732885687305965
2017-02-02,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,9.0,0.2,6.9732,Low Discount,21.456,3.1115578390595813
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,3.0,0.0,9.6192,No Discount,20.04,3.046425387869509
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,1.0,0.0,16.6568,No Discount,35.44,3.5956670723917576
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,4.0,0.0,3.456,No Discount,11.52,2.5273273656719524
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,2.0,0.0,1.9698,No Discount,4.02,1.6134299337036377
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,3.0,0.2,26.6616,Low Discount,76.176,4.346088527868252
2016-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,6.0,0.0,18.4464,No Discount,65.88,4.202899968776446
2016-10-13,Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,9.5,0.0,20.6976,No Discount,43.12,3.786913194385302
2016-09-05,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,2.0,0.2,10.35,Low Discount,82.8,4.428433007488037
2017-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,3.0,0.0,2.3814,No Discount,8.82,2.2844211223663744
2017-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,3.0,0.0,5.1042,No Discount,10.86,2.4731713935695794
2017-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,3.0,0.0,68.976,No Discount,143.7,4.974662633637438
2017-12-22,Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,3.0,0.0,218.2518,No Discount,839.43,6.733913665620719
2015-09-07,Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,7.0,0.0,20.1579,No Discount,671.93,6.511641312348043
2014-10-22,Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,4.0,0.2,12.9096,Low Discount,93.888,4.552697248726974
2016-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,9.5,0.0,103.8015,No Discount,384.45,5.954411482905271
2016-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,3.0,0.0,5.9988,No Discount,149.97,5.017081141579645
2016-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,8.0,0.0,585.552,No Discount,1951.84,7.577040002277407
2016-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,5.0,0.0,80.6285,No Discount,171.55,5.150687049544013
2016-03-13,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,5.0,0.2,17.766,Low Discount,157.92,5.068400930946398
2016-03-13,First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,2.0,0.2,15.2388,Low Discount,203.184,5.3190215481063285
2015-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,7.0,0.0,26.271,No Discount,58.38,4.083957469335614
2015-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,4.0,0.0,48.5392,No Discount,105.52,4.668332760945732
2015-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Storage,6.0,0.0,21.0288,No Discount,80.88,4.405254760793088
2015-05-28,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,3.0,0.0,1.7901,No Discount,6.63,2.0320878452963655
2014-03-01,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,2.0,0.2,51.4764,Low Discount,457.568,6.128108590405284
2016-11-20,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,2.0,0.0,6.8714,No Discount,14.62,2.7485521444115397
2016-11-20,Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,7.0,0.0,236.2325,No Discount,944.93,6.852168570542386
2016-05-11,First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,1.0,0.0,2.691,No Discount,5.98,1.9430489167742813
2015-12-28,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,2.0,0.2,1.3596,Low Discount,54.384,4.0142907433757244
2016-11-16,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,5.0,0.0,13.348,No Discount,28.4,3.380994674344636
2016-11-07,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,2.0,0.2,9.688,Low Discount,27.68,3.3562000157314196
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,3.0,0.2,2.7324,Low Discount,9.936,2.3920600994216485
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8.0,0.4,-1359.992,Medium Discount,8159.952,9.007116107819794
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,3.0,0.2,-58.6347,Low Discount,275.928,5.6237575446024195
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,9.0,0.3,-24.858,Medium Discount,1740.06,7.462249402126681
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,6.0,0.2,6.8136,Low Discount,32.064,3.498445077209431
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,5.0,0.8,-453.849,High Discount,177.98,5.1872740677547124
2014-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,3.0,0.2,8.9985,Low Discount,143.976,4.976568211479705
2014-08-05,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,3.0,0.0,9.8418,No Discount,20.94,3.088311454847084
2014-08-05,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,2.0,0.0,53.2608,No Discount,110.96,4.718141664647253
2014-08-05,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,7.0,0.2,21.259,Low Discount,340.144,5.83230467553532
2014-09-14,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,2.0,0.8,-131.12,High Discount,52.448,3.9787092186231763
2014-09-14,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,4.0,0.2,6.552,Low Discount,20.16,3.052112606990099
2017-04-21,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,4.0,0.8,-243.16,High Discount,97.264,4.587657734236793
2015-11-21,Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,7.0,0.3,-11.3372,Medium Discount,396.802,5.98595439405932
2015-11-21,Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,5.0,0.2,-3.7715,Low Discount,15.88,2.826129489167811
2015-12-15,Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,1.0,0.0,1.4104,No Discount,3.28,1.4539530095937052
2014-12-05,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,2.0,0.2,1.8612,Low Discount,24.816,3.2509944547496605
2014-12-05,Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,7.0,0.2,76.6395,Low Discount,408.744,6.015532574441682
2014-11-19,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,4.0,0.0,131.0296,No Discount,503.96,6.224479218217454
2014-11-19,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,5.0,0.0,41.986,No Discount,149.95,5.016948656152848
2014-11-19,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,2.0,0.0,7.25,No Discount,29.0,3.4011973816621555
2016-11-28,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,2.0,0.0,3.4368,No Discount,7.16,2.0992441689760155
2014-08-26,Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,8.0,0.0,22.984,No Discount,176.8,5.180659323079804
2016-07-16,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,3.0,0.2,3.7224,Low Discount,37.224,3.643463590583454
2016-07-16,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,3.0,0.2,6.255,Low Discount,20.016,3.0452840523832387
2015-10-12,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,4.0,0.2,112.392,Low Discount,899.136,6.802545863019288
2015-10-12,First Class,Home Office,New York City,New York,East,Technology,Phones,6.0,0.0,20.0928,No Discount,71.76,4.287166353649922
2015-10-12,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,8.0,0.0,24.8832,No Discount,51.84,3.9672684796541247
2015-10-12,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,3.0,0.2,46.9764,Low Discount,626.352,6.441507786613698
2015-10-12,First Class,Home Office,New York City,New York,East,Office Supplies,Art,5.0,0.0,6.567,No Discount,19.9,3.039749158970765
2015-10-31,Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,7.0,0.0,6.7116,No Discount,14.28,2.7265447837383743
